parameter_names,S1,S1_conf,ST,ST_conf
sigma,-0.00031949273690101606,0.0004926329671122429,0.00031373035071338034,9.735381280831432e-05
f1,0.0010105898861954852,0.0015391554735166885,0.003697047968719417,0.001269061763257283
K2,0.02684465244311979,0.009613616084839328,0.15681333001011102,0.023294642380446488
b2,7.470632069620031e-05,0.004237906266030922,0.03148658374754946,0.005468819140342692
a2,0.009254716771780174,0.008651389560140839,0.08869510118706005,0.01471662997242333
d2,0.000344911588530515,0.0033009056956588624,0.02794738690567102,0.006949726733803243
e2,0.0027000740667527316,0.003248521794876912,0.01158529712371847,0.0024845356634822504
g2,-0.0008339178602807883,0.001204641397190322,0.0025997036047928322,0.0007803868866352037
c3,0.05235745500679171,0.012752202251119461,0.23940675255982835,0.02099720689281556
b3,0.037547716352243375,0.010307677184099548,0.18664154660666113,0.023836065050888172
d4,0.32830064656714825,0.0371162907012984,0.7302626661142716,0.044110036531187266
c41,-0.0002973069242716877,0.0005142285437810853,0.0003702496661852548,0.00012756338076753913
c42,0.07120083595339033,0.010722442168289962,0.24673759615962723,0.02871180837306891
e5,-3.094802607785671e-05,0.0017530787604701859,0.013259938678903953,0.0033383238583710034
c51,5.828782525604104e-05,0.0005667182756929535,0.0004488463542711649,0.00016284152818719154
c52,-0.001087546025606419,0.00308098119070123,0.020776151639656903,0.004936770019802246
K6,-0.00013418053056296885,0.0004614683837804116,0.00028809834586273887,9.062190123623928e-05
f6,-0.0003328810492180395,0.0005878923914461555,0.00042758492451601334,0.00017881721856222496
b6,0.0010738013566808568,0.0020578172415674214,0.012609605012511994,0.0040444003337363685
c6,0.0017148575953058163,0.0019068170897895908,0.00896667402716943,0.003146082148687088
K7,-1.715843539308062e-05,0.00052527375503901,0.0004903463141818466,0.0002269700384153555
g7,-0.0006540106501942291,0.0008270293871154954,0.0010738897446939855,0.0007175135833620068
b7,0.00010923171275936884,0.001425552516183431,0.0056651345982664395,0.0012454994746984773
c7,0.00041852346730921836,0.0009027365550452507,0.004038430767627158,0.0008973072739659067
