,minimum,mean,median,maximum,CV,names
sigma,0.01941636029411764,0.03239276291523891,0.03138539696066531,0.047297007736650576,0.22239752766209248,sigma
f1,0.01862304687500002,0.02806286344559062,0.028577186734068637,0.04533145680147066,0.23162292050274794,f1
K2,0.16814931832107843,0.38698700891157434,0.383331500303398,0.6436215150122548,0.3490861731733435,K2
b2,0.03975841929611651,0.11785355271318174,0.10839140840650581,0.30633272058823524,0.5554190808024455,b2
a2,0.05243010876225496,0.16062599859232224,0.15467356265169901,0.3011647901348039,0.47007605735569397,a2
d2,0.017520488664215628,0.03135887993319291,0.032685259650735266,0.04660462622549011,0.30031937165769224,d2
e2,0.02265065609830097,0.042900970000029744,0.04030425136529123,0.06767693014705878,0.3059016982311808,e2
g2,0.0169644224877451,0.04140943475008329,0.04006752001088665,0.08649567248774509,0.36163336758776204,g2
c3,0.021543351715686276,0.04442513160262588,0.0446996833282767,0.06685604319852945,0.30930638369568036,c3
b3,0.030162317961165086,0.04344554181464759,0.041405867034313704,0.07184244791666672,0.23794026344070596,b3
d4,0.021675895024271863,0.037049529082339855,0.036874904258578395,0.06527975643382344,0.2901731775310199,d4
c41,0.015825291053921497,0.03013605934257805,0.02858144397397916,0.04550494025735291,0.28599161163982867,c41
c42,0.019809857536764786,0.0370589531056658,0.03831388852947126,0.05121400122549025,0.23309664986194364,c42
e5,0.026401509405339807,0.05723931218990933,0.05675634477471206,0.08398134101941745,0.26952190683123767,e5
c51,0.01825539981617652,0.033740155829853194,0.03319246423918473,0.05105051577669906,0.25875110038038024,c51
c52,0.022870519301470577,0.05645803077185061,0.05525981990945647,0.09130006067961166,0.37313316680542113,c52
K6,0.026289062499999988,0.036094722007811,0.03364594394720874,0.052705078124999916,0.2053204901310581,K6
f6,0.018927887561274503,0.035322233091507234,0.03763008470606083,0.04694795496323523,0.22392536209886263,f6
b6,0.023165402879901875,0.042463206385785504,0.04124023437499996,0.06823318780637255,0.3029409841791313,b6
c6,0.02096338364684469,0.03621070651220136,0.03772288602941175,0.06170272679004851,0.26867674672159664,c6
K7,0.017308900122549042,0.03308043190349562,0.03212297028186273,0.04388384650735294,0.1973058574727113,K7
g7,0.01957088694852943,0.0296107315536955,0.0296164384860437,0.041160960477941155,0.20990319984782396,g7
b7,0.048820445236650495,0.0708555403236841,0.07138847277002427,0.09231004901960788,0.16821921180575442,b7
c7,0.023190870098039218,0.047925250396350885,0.045823109450849484,0.0808875229779411,0.2584915937972069,c7
