parameter_names,S1,S1_conf,ST,ST_conf
sigma,8.066873289009444e-06,3.558590925255055e-05,2.1023660880088985e-05,2.4310414622491517e-06
f1,0.0001310580810293172,0.00024840980762976287,0.0006745409758040416,5.238386367898963e-05
K2,0.033682945002633434,0.002930775461206312,0.16058073672462336,0.004181734280264962
b2,0.003781079021479785,0.0013819547254032404,0.03729363462511293,0.001432952558770357
a2,0.012997335635934141,0.002086349804549859,0.08270539772218512,0.0022875302904575745
d2,3.268949003891347e-05,0.0001963725102492705,0.0006458381145484437,4.713480149004024e-05
e2,0.0015287005617530326,0.0009375893406306922,0.014533835720274318,0.0005116332906741033
g2,0.00011787019349533314,0.0002864078628211335,0.0013792886431467975,9.819559620590428e-05
c3,0.0823236763820504,0.0041087496988187365,0.28887455372054194,0.00621404975707915
b3,0.05225531398683849,0.0035486741498030445,0.221566768418827,0.005310513406117741
d4,-0.00010344168409066815,0.000280992495487616,0.001283862328287214,0.00013337379528408555
c41,-6.262209307380256e-08,2.0343490940270675e-06,9.22210361109462e-08,3.9350557496322926e-08
c42,3.561901704549061e-05,0.00034860535748269155,0.001766652461508555,8.638298626784006e-05
e5,0.32321560398111193,0.008003236096019578,0.6423408010050042,0.007480273546100306
c51,6.050597871571708e-05,0.00015624051461202948,0.00039856231288511553,1.3838195748515215e-05
c52,0.0757331756446124,0.004130681950724599,0.25890644639789934,0.005754022185969294
K6,-3.0800248850624946e-06,5.657089439296666e-06,4.1455527562912106e-07,6.917365042062376e-08
f6,-1.440180395691623e-07,7.2652878185525435e-06,9.167253491510876e-07,2.452265881681631e-07
b6,9.314005903464392e-05,0.00026856320625452283,0.0014172831068541114,0.00010324840485715987
c6,7.452209292658566e-05,0.0002284987497913109,0.000743916265934408,6.068412031373806e-05
K7,-6.607491182322974e-06,1.2545616978516453e-05,2.988338568618163e-06,4.167567912400282e-07
g7,1.1948293398179446e-05,3.1994884890296534e-05,1.8825809838486368e-05,3.7443036360719478e-06
b7,0.00018310379260505426,0.00039714881256134834,0.0029142470426547417,0.00018565304861063522
c7,5.189016878789971e-05,0.0002933313265559662,0.001480252823768231,9.823905424927172e-05
