parameter_names,S1,S1_conf,ST,ST_conf
sigma,0.00019188168252129545,0.000790132725244947,0.0006741991739624473,0.0007049226938235879
f1,0.0026942066855616363,0.003552076920802627,0.0028849674122679914,0.002462615038143684
K2,0.009869816098397221,0.018327062978247096,0.17227345618800993,0.07646812850163696
b2,-0.0018932820890187945,0.013065778321119404,0.031216960569131137,0.014414907881419041
a2,0.010472382010765358,0.012686175704139631,0.09549186748850574,0.04755052267649525
d2,0.006514345753823782,0.010644806833821484,0.04971238349987817,0.04139723535839112
e2,0.0004495219104685149,0.0038399381758024323,0.012603399507216033,0.01074469062101193
g2,-0.001898613406229508,0.00199978129059561,0.0026265569950297985,0.0019690647640759197
c3,0.03461917136233916,0.030867198874817838,0.20005381171134973,0.07238489730018764
b3,0.01915198977081573,0.02297507030657685,0.183370729017471,0.08425967804620535
d4,0.3229991827001852,0.16695119766815922,0.6680726405150861,0.14873840132462235
c41,0.0006223831192614994,0.0008971631875395222,0.0005996636916191648,0.0008058150852109758
c42,0.05588208390861546,0.027888498548763522,0.1962852973941301,0.07288951501958371
e5,-0.0016079112310733478,0.0036796281070084463,0.00831827795482788,0.00572604103022022
c51,0.0005202403998956697,0.0009310041994084703,0.0006658651213240787,0.0009325818684767279
c52,0.002995956956687208,0.007035564938475793,0.018337148439981476,0.01724884085973192
K6,-0.00013417924072589351,0.001117257516774294,0.000896492666010988,0.0009069776410660607
f6,0.00031086291185598093,0.000614429531253214,0.0003492677334128786,0.00029021238636115637
b6,0.004444998522701252,0.006546046319265759,0.025321147408140218,0.03024202698980088
c6,0.00010343854254533087,0.005098202525516142,0.006235483958023734,0.0047037207256839745
K7,3.160319514337568e-05,0.0010577718409490583,0.0007916014264364057,0.0009303950665363416
g7,-0.00047199855142022974,0.0009746528109785536,0.0006335460027063482,0.0006223941589550417
b7,-0.004231154714994917,0.004280459629721241,0.009868974681742533,0.009621114870952482
c7,0.0018636844674676243,0.003397427043704262,0.008440522843065679,0.006355665485134574
