,minimum,mean,median,maximum,CV,names
sigma,0.014789632161458344,0.033493191352871834,0.032454810049019595,0.05841194819478157,0.26461257264662336,sigma
f1,0.014964001225490131,0.032902848266043845,0.03150080708624092,0.06200475007584949,0.2661586149620647,f1
K2,0.027107172947303915,0.11056547941145797,0.1091822302248418,0.21354724360447308,0.39805008995733904,K2
b2,0.01492743334723906,0.053276424363661146,0.04721192126634485,0.14876067516850489,0.5054803787900053,b2
a2,0.021437724992340645,0.07333382191813244,0.07010607254838755,0.16772350834865202,0.4355576138708279,a2
d2,0.017800257414290033,0.03392545549533219,0.03301206718370753,0.06088635014552701,0.2936884717140141,d2
e2,0.01832489902533374,0.04167724853957151,0.04053703280510096,0.08898284313725491,0.3371917458585023,e2
g2,0.014278244462985368,0.03421411452192637,0.03279003260227786,0.0888335343903186,0.317351968882036,g2
c3,0.026329417509191155,0.1694329089548346,0.16498970140667388,0.3977662080931431,0.5082475380568646,c3
b3,0.021781231037621418,0.14090135077551483,0.14150451567203412,0.2860156368514867,0.5049867275729986,b3
d4,0.015736825980392166,0.0361948884143027,0.03283255864115592,0.08416494425060672,0.3526275147939541,d4
c41,0.01460212258731619,0.03128752352491052,0.030028542911305134,0.06520729435300371,0.30573915267703317,c41
c42,0.016232694738051556,0.04515332004526059,0.04375849705116419,0.08631086760876228,0.3072835642301884,c42
e5,0.17917332069546565,0.33144118829883673,0.32107421875,0.5740832519531249,0.2935444339138684,e5
c51,0.016172147584192942,0.040684125663892394,0.036692050111060026,0.09564968664669299,0.3969298745049155,c51
c52,0.03286783459117115,0.27511516249631446,0.2901580301630095,0.43392754712151094,0.4134788401551197,c52
K6,0.014341179342830856,0.03141469327359116,0.02942491288460164,0.06499791413834949,0.3047093389157119,K6
f6,0.019060345818014746,0.04368286011828574,0.04149935818390238,0.08358029833026959,0.33589365988812797,f6
b6,0.017336153197057058,0.03505553761759463,0.033574290556066144,0.06884011661305145,0.3029827203177819,b6
c6,0.013921736174938748,0.03665836743366235,0.033613616344975505,0.07696469205097084,0.35048342528571963,c6
K7,0.013638726391838607,0.03308010443646227,0.03129557489191448,0.07087799670649508,0.32995304212428683,K7
g7,0.020330004645782773,0.04565082883952845,0.04438749042121026,0.08246606919371968,0.24793449139425186,g7
b7,0.013008914688258544,0.0488936329305501,0.04368828338326758,0.1249196968826593,0.4501222399177258,b7
c7,0.017297695122876156,0.033260168892166715,0.031005340814363486,0.06065384210324759,0.29938479854806904,c7
