,minimum,mean,median,maximum,CV,names
sigma,0.021088962928921595,0.0354717686433645,0.03397681142769607,0.05471181832107841,0.24871828795105128,sigma
f1,0.02334458434466019,0.03716688910280434,0.03590080407921663,0.059851524575242676,0.2723991980985236,f1
K2,0.025156629247572837,0.11845461865912929,0.12641764322916668,0.20967696844362743,0.5259477386835508,K2
b2,0.025972580400485418,0.05947217382477869,0.051573510263480435,0.12004461550245099,0.46649014344424844,b2
a2,0.034914479672330107,0.08191061915512562,0.07010794334041262,0.16407686121323534,0.4717624654446663,a2
d2,0.024655330882352916,0.03385679314201408,0.031290785845588254,0.058105085784313726,0.2552303119061966,d2
e2,0.027768886529126235,0.04302098559007947,0.04205860323118926,0.06572974111519614,0.24523968705832774,e2
g2,0.021209041262135936,0.03447148392882639,0.034941693474264734,0.04829992794296112,0.22994498388893236,g2
c3,0.04226761604975737,0.1849445889551209,0.1937050972732843,0.36761067708333334,0.5204648926809594,c3
b3,0.02921315609830094,0.16482007639979537,0.16359790870990382,0.32337852328431377,0.5189479949740841,b3
d4,0.20576880361519612,0.3467411579543832,0.3455392156862745,0.500771484375,0.23369222824895813,d4
c41,0.02354185814950982,0.03575179538403651,0.033277228860294134,0.05614698223039216,0.21909084186781747,c41
c42,0.1828597962622549,0.3320841240831133,0.34903779871323537,0.4402519914215686,0.2561540494114429,c42
e5,0.019453219811893185,0.04062677539917666,0.03835391773897057,0.06735654960558252,0.27402563630953514,e5
c51,0.03335245373179607,0.0477814172221528,0.044405637254901986,0.08650984221813729,0.28803327325499656,c51
c52,0.022958792892156854,0.048449317465912335,0.05031786151960782,0.06954867493872546,0.29323530229000866,c52
K6,0.020665484678398127,0.03657026230546831,0.03401922208886585,0.06858111213235296,0.2964913890091387,K6
f6,0.0271909466911765,0.03965596909652818,0.039527931583737866,0.06054515165441182,0.22676141074374376,f6
b6,0.026490310968137254,0.04076287257355915,0.03723240272671567,0.07566444546568629,0.33924690487556936,b6
c6,0.019716891686893168,0.045731143959404155,0.048402362898284326,0.06434359681372548,0.30445477851164204,c6
K7,0.022235948877427192,0.0371542749381306,0.0371701075947673,0.05222445618872551,0.22217644063742475,K7
g7,0.02334290747549017,0.03547911786642752,0.03375714063689794,0.0507745481004902,0.2362215959497622,g7
b7,0.01989296109068628,0.04180115584993099,0.039548100490196095,0.06763250612745098,0.27362818851937903,b7
c7,0.02515947360436893,0.05013299115535171,0.05022348278662193,0.07878062424150484,0.30459738486486476,c7
