parameter_names,S1,S1_conf,ST,ST_conf
sigma,7.910900940606241e-05,0.00027388957441348377,0.00034777746303305094,3.6567503745807895e-05
f1,9.238098480941957e-05,0.0004557070752163086,0.0010429140875517695,5.679614349429728e-05
K2,0.5689200880327879,0.010096559935144517,0.5819466407884455,0.008140099569372072
b2,0.10800684742253232,0.006392782910610671,0.1674296709773899,0.004260648957138522
a2,0.20667252799894417,0.006407616724030637,0.2511709197460315,0.005195812081229345
d2,0.000155692740897548,0.0005177135184133093,0.0011581635208615217,7.494203395333864e-05
e2,0.004803115480599867,0.0015913265385957512,0.014109760839352637,0.000671276633852736
g2,0.0012319755178521739,0.0008554713263301603,0.0034648988954386144,0.00016755401741238904
c3,0.0030742845275793145,0.001718334967086727,0.012427977880589391,0.000507442116296829
b3,0.002336015091172955,0.0015904345464724395,0.01227015014878028,0.0005091771473806246
d4,0.00029253527817623917,0.0007127552256214611,0.001894670722427513,0.00013855821218046452
c41,-3.9227417153652606e-05,0.00021847828645915672,0.0002843025783635438,2.914419315381662e-05
c42,0.0009601166183910078,0.0008674125578372884,0.002874118451613838,0.0001396080898929553
e5,0.0031631964865692815,0.0016220468964041328,0.011531037004415242,0.0006469670635563875
c51,8.488286744329416e-05,0.0002770634916704553,0.00033147875520501193,3.090680940632685e-05
c52,0.014808235721722001,0.002578472602787281,0.03188027883211401,0.0012558925966464878
K6,4.350734488065776e-05,0.0002446409830085715,0.00028901933935571655,3.02947554999729e-05
f6,-0.00011040925022619945,0.00025693116221900766,0.00030811724649012687,3.5492037111907655e-05
b6,0.0006300797005137209,0.0005978984249839141,0.0018232682953765202,0.00010364844728868274
c6,0.0005063927220059106,0.0005128341824696329,0.001056168232965687,7.266894770992143e-05
K7,-2.416261132206874e-05,0.00023748575620713454,0.0002953694372046274,2.7158775376573884e-05
g7,-5.5106891146154784e-05,0.00027223457999511015,0.0003160494833393781,3.707962953852334e-05
b7,0.002824489983650985,0.0013329080150657885,0.006656319622621287,0.0003227615172842913
c7,0.0007980555962220588,0.0007582029715912803,0.00290272500205002,0.00016674003447023842
