parameter_pairs,S2,S2_conf
c41 - g7,-5.408377663420661e-05,0.00018096977114390254
c41 - b7,-3.8186342857672324e-05,0.00017816481553338203
c41 - c7,-4.8242197425262976e-05,0.0001804357096283684
c42 - e5,-2.4393229604334835e-07,0.0006751763446310217
c42 - c51,-4.3020565661938905e-05,0.0006727521974770406
c42 - c52,-2.600495050511173e-06,0.0006976778820334333
c42 - K6,-4.694848276998146e-05,0.0006721147001073239
c42 - f6,-4.0204892300247034e-05,0.0006728027513572636
c42 - b6,-4.322074222672611e-05,0.0006693188806617237
c42 - c6,-5.0909127107411886e-05,0.000670818140536408
c42 - K7,-4.207774441067119e-05,0.0006736349585984506
c42 - g7,-4.878299586753306e-05,0.0006739497734749616
c42 - b7,-6.79614673182883e-06,0.0006718019287024822
c42 - c7,-3.9100749551172894e-05,0.0006701185184492738
e5 - c51,-1.3819950813959241e-05,0.0011233466692037756
e5 - c52,0.0014499156227124263,0.001097992673477117
e5 - K6,-1.781983365890623e-05,0.0011195845701596862
e5 - f6,-1.0266114167201652e-05,0.0011215956407343653
e5 - b6,-1.4447577468510082e-05,0.0011241878771400058
e5 - c6,-8.196383572489256e-06,0.0011230109408449825
e5 - K7,-2.179338204526607e-05,0.001122043277630415
e5 - g7,-2.2338034678152875e-05,0.0011217271410622152
e5 - b7,1.8785478076538322e-05,0.0011165070441255978
e5 - c7,-3.8487775939067366e-05,0.0011136008945001289
c51 - c52,8.407321290767461e-05,0.00020721867379988056
c51 - K6,7.875964811305316e-05,0.0002065906097083393
c51 - f6,7.651295765479488e-05,0.00020624855720993167
c51 - b6,8.404194132923611e-05,0.00020695290025157304
c51 - c6,8.394899987556895e-05,0.00020645635215045289
c51 - K7,7.954009420899286e-05,0.00020664426127886133
c51 - g7,8.021910573637172e-05,0.0002061067371324343
c51 - b7,9.027388186994608e-05,0.00020635987805929753
c51 - c7,8.731284007602131e-05,0.00020743528327781875
c52 - K6,0.0009234541178741855,0.0020096168432417088
c52 - f6,0.0009028524141437902,0.0020091922664490633
c52 - b6,0.0009397682455666543,0.0020089915859574053
c52 - c6,0.0008788727875520302,0.0020172874657436238
c52 - K7,0.000882161851142755,0.0020101900918146226
c52 - g7,0.0008986073957728056,0.002011092690619575
c52 - b7,0.0008939322907457505,0.0020122215791033415
c52 - c7,0.0008441518529729599,0.0020079335704062365
K6 - f6,3.1480128846662523e-06,0.0001678417745192736
K6 - b6,5.6071243636261975e-06,0.00016769085142605852
K6 - c6,6.562814183980268e-06,0.00016745838109379204
K6 - K7,5.329351753908596e-06,0.0001684825248020242
K6 - g7,6.161289727959896e-06,0.00016785269951527084
K6 - b7,2.4955938638623106e-05,0.00016756014143342197
K6 - c7,5.331148574055098e-06,0.0001680130010689417
f6 - b6,-9.01236642007131e-05,0.0001838071958014216
f6 - c6,-8.874249127701904e-05,0.00018314882462593086
f6 - K7,-8.962915494998079e-05,0.00018395733456776832
f6 - g7,-8.736983405891786e-05,0.00018331330850410488
f6 - b7,-7.951771261047484e-05,0.00018448249791215687
f6 - c7,-8.949289015479107e-05,0.00018232615342875306
b6 - c6,-3.4179790992705674e-05,0.00044351329448900445
b6 - K7,-5.80975254126574e-05,0.0004428455736505349
b6 - g7,-5.6359099070771464e-05,0.00044268664478766084
b6 - b7,-1.8120945608399684e-05,0.00044121977014358065
b6 - c7,-4.795074309117621e-05,0.0004386282598304815
c6 - K7,8.071326020706997e-06,0.000380575008618254
c6 - g7,1.0145125902196497e-05,0.0003809360320816833
c6 - b7,2.3858331250242813e-05,0.00038377678826113996
c6 - c7,1.4185339462931181e-05,0.0003816144333840973
K7 - g7,-7.570459685671354e-05,0.00018741508670394594
K7 - b7,-6.336451648196158e-05,0.00018611205001385625
K7 - c7,-6.760426581861123e-05,0.00018663520846132862
g7 - b7,-2.8469354570680692e-06,0.00017813848177217114
g7 - c7,-1.7796492267008884e-05,0.0001793832793317298
b7 - c7,0.00027697807251403773,0.0008924267096664177
