,minimum,mean,median,maximum,CV,names
sigma,0.015587852328431406,0.032259145443675044,0.03156901041666671,0.047884746662621325,0.25922538923506944,sigma
f1,0.017786331917475806,0.03339152961700457,0.033023244529911455,0.05445733762254901,0.3504290700075958,f1
K2,0.03219745710784305,0.1055967222598991,0.09354814547936896,0.15757161458333335,0.3604042762912413,K2
b2,0.03672405946601942,0.060590571012992575,0.05721469056372547,0.10765586703431373,0.3423900966772511,b2
a2,0.044133731617647054,0.06962278772249189,0.05773184482379112,0.1380055147058823,0.39939403547561014,a2
d2,0.026039327973300996,0.03590934272677515,0.03081658137314386,0.07208026960784308,0.36798660676789235,d2
e2,0.019634650735294135,0.0322511436917,0.03009918811274509,0.04798524726941744,0.27355944316048497,e2
g2,0.025762867647058818,0.03418271924971446,0.032690224261731404,0.04655254289215682,0.1831014862900969,g2
c3,0.04846469056372549,0.17788680538204357,0.17691159739077672,0.3110669424019608,0.4521609484485111,c3
b3,0.04261756674757278,0.14421822686143634,0.1595927829186893,0.2507942708333334,0.4894518165868989,b3
d4,0.02010952818627454,0.030862540601798966,0.030213120404411792,0.04783509497549021,0.24912880709343307,d4
c41,0.016695805521844687,0.03345405378474207,0.03625083285741479,0.054931066176470644,0.34794718411508346,c41
c42,0.021352634803921577,0.030242288260874727,0.02684687618979631,0.04290249693627457,0.272574056064746,c42
e5,0.2001042930825243,0.3136673255163716,0.3163974417892157,0.48546798406862746,0.2879345088205589,e5
c51,0.02281020220588237,0.040818870243789246,0.03721277573529408,0.0911350879854369,0.4515110551262045,c51
c52,0.07154221025485435,0.2782512734538597,0.2976992890223444,0.42641812193627454,0.3960855272522785,c52
K6,0.018411458333333353,0.029982193211022263,0.029816312181729476,0.041235830269607865,0.2394609510101133,K6
f6,0.020139399509803924,0.03006017766633353,0.029683833940129467,0.04037032781862743,0.17394514189069174,f6
b6,0.020630744485294117,0.0298350213568437,0.03007218903186276,0.04047066482843131,0.19471974598554734,b6
c6,0.02050420964805827,0.033706438210903286,0.03378629250547305,0.051019986347087376,0.2815479345731484,c6
K7,0.025336626838235232,0.04307306167309158,0.04160251991421568,0.06942823223039218,0.29324171142132816,K7
g7,0.022506127450980462,0.0363506437541643,0.02916762408088236,0.06477984678398052,0.42613024899262414,g7
b7,0.011684666053921489,0.03354773983319056,0.03095377604166666,0.060393658980582465,0.4391914592837143,b7
c7,0.02547066482843141,0.03384920633150106,0.03219069385946127,0.04453546262254904,0.18172971493234333,c7
