,minimum,mean,median,maximum,CV,names
sigma,0.025850083434466042,0.044213413763563685,0.04371443438570821,0.05721507352941174,0.2017358346070147,sigma
f1,0.02615632584951455,0.04486431860365503,0.04568091299019604,0.06306334252450974,0.2773988108624427,f1
K2,0.04231043198529416,0.12316838629414144,0.11166812044902916,0.2124364276960784,0.465856958760988,K2
b2,0.034231454793689386,0.05039653047960692,0.042564390288882564,0.09655867034313725,0.37483773632940404,b2
a2,0.02724173240291261,0.07562492972765562,0.07841204021808965,0.160803462009804,0.49883155126447665,a2
d2,0.02044618476941748,0.03273001699921473,0.03315697763480393,0.058249463848039196,0.35142476770064496,d2
e2,0.030457562196602006,0.039960092744622124,0.036637763911693266,0.07115387561274511,0.29880015027996965,e2
g2,0.022650561286407744,0.03344726488137731,0.033616536458333374,0.0417549681432039,0.14545509046996055,g2
c3,0.022759974211165046,0.18158248114172854,0.17983588061286407,0.375941712622549,0.5693799269592581,c3
b3,0.0501704717839806,0.16561448666238338,0.16706367566747574,0.31046875,0.48903947964447597,b3
d4,0.21599362864077665,0.33809675014575,0.330754633884804,0.47353515625,0.2346775441275563,d4
c41,0.02564721200980391,0.034072365642252064,0.028939480639039616,0.05638288909313727,0.27897755780992983,c41
c42,0.1827719056372549,0.32529823880401676,0.3493435968137255,0.43632314644607845,0.26366926774353,c42
e5,0.018986289828431313,0.02927457896083191,0.028168658088235293,0.04299900428921566,0.2611990441787177,e5
c51,0.029378063725490178,0.04227353751725204,0.035899203431372595,0.07157027457524268,0.33615973551174944,c51
c52,0.026814108455882335,0.049718025711498186,0.04705001531862746,0.07576899509803914,0.2992102254847106,c52
K6,0.022837775735294115,0.0395466805426661,0.035594478006615304,0.07297955855582527,0.3496838778945579,K6
f6,0.027677696078431346,0.038395567488221004,0.03828163296568626,0.049708563112745074,0.21789913337260783,f6
b6,0.022740119485294114,0.03463959805706264,0.033492206462378646,0.055985370710784355,0.26516758671409546,b6
c6,0.02685814950980392,0.038553087967589945,0.03820466801708544,0.05946203731796118,0.23922333197944531,c6
K7,0.025792817050970918,0.0443259004527175,0.044027841605392165,0.06203278186274508,0.23619247747791203,K7
g7,0.026981081495098036,0.035372944998691244,0.03514153556598615,0.04817976409313729,0.16129566261749947,g7
b7,0.023087469362745083,0.03811001451551492,0.03734719669117645,0.0621448346480582,0.2670757132202924,b7
c7,0.02908892463235302,0.04019737382210167,0.03555970435049019,0.06157322303921575,0.2502969598729871,c7
