parameter_names,S1,S1_conf,ST,ST_conf
sigma,0.00011931079593326254,0.00016480706769819676,0.00036364450574176936,2.0365094693521727e-05
f1,0.00037328988260298864,0.0002587230292233402,0.0010315863888016351,2.9669963600576935e-05
K2,0.569882727869515,0.004734758593328717,0.5832261343487862,0.004228048595554713
b2,0.10831173026764651,0.003503758991881302,0.16847941377124914,0.0020287968072298284
a2,0.2073778531654045,0.0035618326140845432,0.2519535291917901,0.002762963635717261
d2,0.00027579886780550606,0.00026952260908950774,0.0012085890819323463,4.225924103221862e-05
e2,0.005468164142541493,0.0009727089329125007,0.013982287118212037,0.0003483903649405198
g2,0.001210181257637229,0.00042871347782717545,0.0034579006751677783,9.11727088541898e-05
c3,0.0027955358794755276,0.000823164384334971,0.012463198035674604,0.00027758534253488203
b3,0.0025285069911339378,0.0008585108805529362,0.011900858589932981,0.000274959813096404
d4,0.0002939967520989711,0.000343333745642607,0.0019663243095861733,8.079647898920559e-05
c41,5.127748118013989e-05,0.0001240805219083022,0.00029395600365698357,1.4585609215077025e-05
c42,0.0009247061419965066,0.0004565256950095491,0.0029104734364271694,8.141309188434214e-05
e5,0.0039044001519797796,0.0008037418027295906,0.011186882899816702,0.00031843514828251555
c51,-3.504564631083301e-05,0.0001412395846308334,0.00033434068805405235,1.6363925595683536e-05
c52,0.015481563114346359,0.0011984946297477436,0.031487331638762904,0.0006331018768630045
K6,3.089580887075585e-05,0.00011425918140147605,0.000296344945165516,1.5760897912287436e-05
f6,8.531311371289792e-05,0.0001306441996583331,0.0002997699169686652,1.5957256170327e-05
b6,0.0005849963488583806,0.0003287148676298111,0.001886398561394361,5.419973148053773e-05
c6,0.00022996228782395557,0.00026893992335012823,0.0011138955568414793,4.459934487669056e-05
K7,0.00012986410000667822,0.00013116623656871302,0.0002940939288348062,1.4465889815836353e-05
g7,6.279479347146396e-05,0.00012434875275412757,0.00031115840165024276,1.6279287007665397e-05
b7,0.0025754101671452805,0.0006390331246893669,0.0064403883426547145,0.00014554192497065075
c7,0.0011424900294370853,0.00034456432151149354,0.0028154139806556774,8.14834106608433e-05
