parameter_names,S1,S1_conf,ST,ST_conf
sigma,-0.0006339305824719216,0.0013351121615213552,0.00039149826314599745,0.00010251640403939506
f1,0.0003734477082452553,0.0021675888736768837,0.001196053094648185,0.0002515468298045289
K2,0.5724938714599824,0.04207974110378789,0.5844740248059607,0.03594166402650153
b2,0.10871302484051237,0.028380719542157408,0.17184984338738504,0.0167491873299542
a2,0.20345684784347642,0.027111562969302585,0.2522946630217934,0.023697743757404372
d2,-0.0002154616819627846,0.001639465572528438,0.0011015033688758407,0.00025104163432243163
e2,0.00534706192250914,0.007122160603314514,0.014730115359392454,0.0048166815845291314
g2,0.0007586837599446933,0.0034801256236617188,0.003354328038945965,0.0007250304506696128
c3,0.0013034230900890972,0.006163954182728321,0.013351534962431976,0.0017431988384025957
b3,0.0021672308282775204,0.005986118499201997,0.011843481489347454,0.0019485308774441136
d4,-0.0013489406949792429,0.0023906493037223423,0.0020879178318982104,0.0008114823132439185
c41,-0.0009236960776746618,0.0016669700570477327,0.0004295183857072312,0.00022981544292429928
c42,-0.0012334341928970562,0.0031715028218720774,0.0025762334058228873,0.0004772019431769005
e5,0.0007482796316493517,0.007349856564326889,0.011169354843796105,0.002624470242978634
c51,-0.0010658750079303473,0.0012667132836593556,0.00036185536887020804,0.00010496394691277351
c52,0.013741978068281707,0.0097645890334536,0.031885092937039214,0.006630963212718863
K6,0.00012717430731501862,0.0016986138987726345,0.00043880102595412416,0.00014942891113843364
f6,-0.0005840769089119135,0.001533106561779511,0.0003762415499821807,0.00012005826429049733
b6,0.000601226166267108,0.002634639756354383,0.0017357939724655254,0.0004270002234072264
c6,0.00035411659346981574,0.001951174290416362,0.0012772546417311988,0.0004488070486012409
K7,-0.0004367369351260793,0.0016244554423293816,0.0003597716659068267,0.0001158044268530796
g7,-0.00018930200475772663,0.0012405701386315469,0.00030066538296724796,0.00010950665768270786
b7,0.0020525502107808223,0.0052038794251196745,0.0066207853877409606,0.001109891290657229
c7,-0.00018904323781084194,0.0032743298694595147,0.0027949904278929904,0.0005641530359457782
