,minimum,mean,median,maximum,CV,names
sigma,0.018717242490898067,0.034421591052322786,0.03200502939912314,0.06866890701593137,0.285670016078814,sigma
f1,0.02289177389705882,0.03785560360132751,0.03647293390012253,0.0660147633272059,0.2544443231923623,f1
K2,0.028131989123774487,0.12786912644969245,0.11947557636335783,0.2606184895833333,0.5018268612379214,K2
b2,0.02415115655637255,0.055741818175142475,0.05353558708639709,0.12923703661151964,0.4022190518716878,b2
a2,0.0255893841911764,0.08073402310379932,0.07589979647046925,0.14764696308210778,0.4444061491874049,a2
d2,0.02001551011029412,0.03344082836221564,0.031169792856462958,0.06373971290958735,0.31854320116761836,d2
e2,0.028830805759803957,0.04711559981907659,0.04483656939338232,0.09915919883578428,0.3159752839336881,e2
g2,0.019947000151699035,0.03671482978383632,0.03470464329163098,0.07111165364583338,0.2645391247618563,g2
c3,0.03586617264093139,0.18568475391759023,0.18072432614770725,0.39367110906862746,0.5341197806027378,c3
b3,0.03187002144607848,0.16495030759952645,0.15890482782160195,0.3703170955882353,0.5318445765900796,b3
d4,0.2039295151654411,0.35160396514491715,0.35035974839154416,0.5149804687499999,0.23230966819940624,d4
c41,0.0249273322610295,0.03911355876069329,0.03710271167591732,0.08185006447208737,0.2771051481034593,c41
c42,0.1644889164896845,0.3343824791014138,0.35544467103247546,0.4451141237745098,0.2519913521136919,c42
e5,0.02228103193264569,0.04485923717418172,0.04231125833601038,0.08336665134803922,0.356159294349329,e5
c51,0.024401999080882364,0.0453891326422104,0.04502988573121908,0.06604586999393203,0.26373570000544966,c51
c52,0.021619178921568616,0.04738870893994355,0.046550502577396236,0.09450778405643206,0.3136315756662865,c52
K6,0.023892265245752498,0.039198265588376593,0.037633942248774505,0.07720032935049026,0.28610893380530555,K6
f6,0.019204676011029403,0.03293352842739418,0.032214929917279374,0.058207960406553405,0.26105063298698616,f6
b6,0.022241447967233006,0.042845582332789,0.04240852186027627,0.07976524203431373,0.305064783333713,b6
c6,0.017518061665655282,0.03745535524064374,0.03454561679040552,0.06620165058210792,0.2747666197115524,c6
K7,0.019992053462009718,0.03060967695728929,0.028333620557598062,0.049685935603762166,0.2126082190173859,K7
g7,0.01878228344963595,0.040922697098123996,0.04006697484250073,0.07194000842524506,0.3030484754163913,g7
b7,0.023723192401960747,0.051464141607511484,0.048092313599818,0.08858025045955881,0.3012370649294725,b7
c7,0.02299728094362752,0.04793770142879664,0.04625646905265446,0.09155292585784314,0.33724168238951024,c7
