,minimum,mean,median,maximum,CV,names
sigma,0.01513358995752423,0.030465692624350442,0.029437355783674207,0.05856689453125008,0.25053302205603106,sigma
f1,0.017386628678701443,0.032096492253914796,0.03195635023104358,0.053240655637254886,0.22416663310616863,f1
K2,0.16607771331188725,0.3880191233787631,0.38638643152573526,0.6787286496629902,0.3511372842246837,K2
b2,0.03635612936580879,0.13294641364834864,0.12881285424325983,0.35089254940257353,0.4856390983242624,b2
a2,0.048788991391080096,0.16215886681987152,0.15704425991137508,0.3202265720741421,0.4594326899184399,a2
d2,0.017451937806372553,0.033233536594462765,0.03275413723779866,0.05419632698725718,0.267264931395054,d2
e2,0.01965073529411765,0.042564466823924264,0.04263577132821417,0.07688629748774511,0.3240525689513018,e2
g2,0.020031904202063112,0.040794672836922424,0.04023310177852238,0.06735404220281865,0.2409061393746451,g2
c3,0.01868518305759803,0.04134199492263721,0.0405301169978762,0.0710794845281863,0.31621980358861496,c3
b3,0.020822227328431364,0.06490785024698499,0.06504035477680903,0.11271235447303918,0.3370275865727346,b3
d4,0.016870978860294095,0.035394555173736277,0.034256352443321064,0.06123190487132357,0.241681430276554,d4
c41,0.018764217601102917,0.03060955673441441,0.031158614348348546,0.04319364381067958,0.20194307881726475,c41
c42,0.01828962737438733,0.037835973461128616,0.03735576856937406,0.0673062672334559,0.2509346238169376,c42
e5,0.020346057368259785,0.06533262574729433,0.0640980312217423,0.13413619254399273,0.4196887258688733,e5
c51,0.017819536994485352,0.03459903189969385,0.033222359962833736,0.0640330116421568,0.2576154240645353,c51
c52,0.024610954733455898,0.06272357869071096,0.06184358914511645,0.14761005290503643,0.38850178745824115,c52
K6,0.021016359792172312,0.03948904941805017,0.03803977131185454,0.0735400390625,0.2920406502791436,K6
f6,0.017224695542279456,0.03350202040542495,0.03219176839425092,0.06031524954490286,0.28864555936323444,f6
b6,0.01944872089460785,0.03438226865038244,0.0335225936741505,0.052258875229779456,0.24761931015734645,b6
c6,0.01933342498483015,0.03576356285875147,0.03466484925280794,0.06158406970570385,0.24647312496027718,c6
K7,0.02226280062806374,0.03971740979438461,0.037994683144230046,0.08084893918504898,0.2884674656845252,K7
g7,0.019988223805147046,0.034962817081877685,0.034224403159132305,0.06739715279884706,0.2685883199478609,g7
b7,0.019185479856004883,0.04336303842233382,0.042137379365808816,0.07342462277879902,0.25756928602383056,b7
c7,0.01925679327214802,0.04135460375995152,0.03986366096233698,0.07274811389399508,0.2584780085904022,c7
