,minimum,mean,median,maximum,CV,names
sigma,0.018719003714767146,0.032315223834729304,0.03120819980658371,0.06087387982536768,0.23505806949505784,sigma
f1,0.015061189225576532,0.03202498223816534,0.031023200539981644,0.0585109336703431,0.2658569978229064,f1
K2,0.1689621629901961,0.3881351830006644,0.3746078431372549,0.7075247340526396,0.3537822733699892,K2
b2,0.03646832808707523,0.12073265053607293,0.1109311792071197,0.3653313371246937,0.5387526143681124,b2
a2,0.04584883902836767,0.1636970006774635,0.1625803372775081,0.3371189970128676,0.45690402145092246,a2
d2,0.01746395962909586,0.032855092347655414,0.03221454207156921,0.06480269645024272,0.258974555710119,d2
e2,0.021700617225424712,0.044405032298961145,0.04321135562509665,0.08106806782842835,0.31657585826729445,e2
g2,0.019276715621207526,0.03438592849112728,0.03323864506740193,0.06339597239077666,0.2703682263457576,g2
c3,0.018140175015318727,0.04003382885444738,0.038637358242276765,0.07190210434996963,0.2705733351808919,c3
b3,0.02182047526041664,0.0785158072601789,0.0653760842715993,0.19381259955248786,0.5591456939965405,b3
d4,0.015301762553094567,0.03075564179274325,0.02956440046721813,0.053169443074939315,0.23729138610734135,d4
c41,0.01417406269148283,0.03167565441294986,0.03039707813448117,0.05576482383950243,0.254767304411323,c41
c42,0.01709134888880459,0.03504386065715657,0.034109437231924056,0.06984670102017598,0.2879197504760571,c42
e5,0.021139093787924668,0.04629059795014363,0.04336798196789334,0.09849614162071074,0.3423845789630366,e5
c51,0.017765945733762237,0.036459047902454175,0.035011333390778165,0.07356593456083133,0.29278063522457837,c51
c52,0.019464446423100495,0.06191727931590709,0.06284025223123987,0.11265194163602943,0.35364712436632273,c52
K6,0.019581705729166676,0.04819761695476934,0.047409683305968064,0.08248304052260313,0.29309948350487813,K6
f6,0.016193584367340697,0.03858270278050517,0.03738192689185049,0.06900632372089455,0.27981809509915223,f6
b6,0.020021470013786846,0.03894458039619799,0.036920611027329645,0.06943512259177798,0.27750988121500125,b6
c6,0.017695049211090663,0.03610165565617081,0.03624719119766381,0.0756243244652609,0.28085256834436406,c6
K7,0.01985606369462989,0.05408273961306662,0.05181875191482843,0.12453575356492719,0.32550112306507534,K7
g7,0.017255574939320395,0.035173751942888576,0.03514286246772674,0.062345473345588265,0.26335326095063805,g7
b7,0.02072713611195387,0.04134396821985512,0.04038799396996362,0.08173263994235441,0.2837521814254081,b7
c7,0.015996757433252407,0.0372215141559269,0.03539320932123608,0.07442206225348907,0.31049369784225656,c7
