parameter_names,S1,S1_conf,ST,ST_conf
sigma,4.2239638356369894e-05,0.0004486105230572486,0.001863731413269007,0.00036315254770844457
f1,-4.7370693425799164e-05,0.0013295521003358973,0.012898952112157249,0.0013894826253079843
K2,0.07094693984762479,0.0051370037781354435,0.22636024190942966,0.005244076027629495
b2,0.0011180552647617175,0.0024266118812273263,0.07623118369080913,0.0036226124831403206
a2,0.015119634364107086,0.0030306276377405753,0.0986310898316173,0.003899273197618659
d2,-8.016439819748723e-05,0.0012109089418098616,0.013545584132681938,0.001537353038638727
e2,0.005162451790756814,0.0024309929980137206,0.05257871615466436,0.003388407047177338
g2,0.001485820660180359,0.001057354277774451,0.011088705067807866,0.0009871640220253843
c3,0.1731352372482566,0.006385687786379508,0.4297650633632242,0.00867948526966474
b3,0.11136152557969008,0.006357278296412537,0.3304325044001571,0.006642400812160345
d4,0.0037970989311963336,0.0018855875922484137,0.029980220948638593,0.0024142171771883254
c41,3.526489764956495e-05,5.387035932463697e-05,4.243769320503696e-05,1.9682970088070358e-05
c42,0.0005990136958756804,0.0013437666515171201,0.019929828376015535,0.0014507388905443145
e5,0.07890351847831678,0.007388192462460586,0.25342063845647234,0.005159076432346574
c51,-0.0004932373161614265,0.0006630612796210124,0.0037288898943704904,0.0005078937002950855
c52,0.07665524466138676,0.005485222900694056,0.2375442923237159,0.005599115151937491
K6,0.00013804454281057525,0.0006137249539455866,0.002693726023283263,0.0006838396519800033
f6,0.00011332912310613072,0.000520720760736918,0.002967582732347297,0.0007224369977394652
b6,0.0200173959678032,0.003927982556378573,0.1465233258903212,0.005148487220918999
c6,0.012152311825771325,0.0037407902935389266,0.10967862134548781,0.004446336657719781
K7,-0.0002337753162821309,0.0004352379580579119,0.001368195973250515,0.0004491406698769618
g7,-7.765654811955782e-05,0.0007901414462006158,0.0045679508845022886,0.0006426869303346119
b7,0.0027263576329310114,0.001926254493678911,0.02385324445280452,0.0016472938327521211
c7,0.0007808182482523868,0.0014026402718408017,0.01633279788237387,0.0013538381764269362
dummy,0.0,0.0,0.0,0.0
