parameter_names,S1,S1_conf,ST,ST_conf
sigma,-0.0003026222860473085,0.00038225154609157643,0.0011693853024705874,0.000286904832703158
f1,0.000854389863270139,0.0015138006151626138,0.01735361679676975,0.001678282180203598
K2,0.07103956228267272,0.0049818129988049254,0.22500426710763924,0.005629649302639598
b2,0.0006025006014956528,0.002959819619806331,0.07310091919099808,0.0033045799143253773
a2,0.016248756059542735,0.003304740055880812,0.0995661213894325,0.0034991278982849567
d2,-3.693240578091507e-05,0.0012454907336666775,0.013534365321159276,0.0014261314591148303
e2,0.004874700436343372,0.002555310458195769,0.05215757990339155,0.003120118684748457
g2,0.0011444245328083062,0.0010566428303786276,0.011182037931428383,0.0010771356633650859
c3,0.1747950904222406,0.0074884199843886345,0.4261907495711029,0.010220558452843304
b3,0.11086436813310747,0.005824920304754716,0.32712611225577387,0.008003017333623045
d4,0.0040999760044877695,0.001618199292595552,0.029085543357128395,0.0019251622892404636
c41,3.339001360035956e-05,4.5404826644582105e-05,1.3628854715809466e-05,5.344247199037527e-06
c42,0.0008900905190810627,0.001382335255886398,0.01939842189570841,0.001400879996769695
e5,0.08112074356929772,0.006567454648781738,0.2538885401377021,0.0052920258537497815
c51,-0.0004497487253316339,0.0005054499675091879,0.0032448754385544926,0.0006502278407518622
c52,0.08023887058156134,0.005196349526125169,0.239522219339529,0.005884118773330721
K6,-0.00017218401304452673,0.00045479922833723766,0.0020293689754719074,0.00048306466357578065
f6,0.00018265535317967872,0.000580354751216288,0.0029550040572099007,0.0005761096207270725
b6,0.019414454008019357,0.0034651285318254036,0.13761956417665142,0.004994162506859474
c6,0.010365181217214851,0.0033360374532045147,0.10232599805369999,0.0039042255508309888
K7,-1.3171411488389606e-05,0.0003079164336087746,0.0009950509116322872,0.00047155093255919344
g7,-6.959090159921704e-05,0.0006787455506319162,0.004391693499603734,0.0007312424662030265
b7,0.0031852868769678103,0.0014867264429709302,0.02319335010804313,0.0016982453199567505
c7,0.0013705165332778338,0.0012542523487909134,0.015808694132686894,0.001186131836055405
dummy,0.0,0.0,0.0,0.0
