parameter_names,S1,S1_conf,ST,ST_conf
sigma,0.00010231156222675539,0.0003493470462761895,0.0011307699664093096,0.00024914365668422865
f1,0.0002073260959958909,0.0009717345631360073,0.007720146772219043,0.0006180156822515623
K2,0.39811701906791885,0.007739401135306064,0.47874749102459424,0.005197069462226459
b2,0.004290197649997641,0.004380554123447596,0.12418060172588401,0.0026387250175071287
a2,0.0339156941979982,0.00325563052134475,0.09138147318924048,0.00264219922484286
d2,0.0005641922325018356,0.0011149465701945427,0.010490651748792415,0.0007553217643689558
e2,0.006248238785324778,0.001733706971993523,0.028752809375024026,0.0012739338127866213
g2,0.008557211971929279,0.0026644458788739264,0.04728285212007846,0.0016515467202004826
c3,0.023170807150266353,0.004567915188697061,0.20375797979096166,0.004504628467112784
b3,0.020445124206085623,0.004807856270755327,0.1815767294103586,0.004037286417015813
d4,0.008593114261746403,0.0022632222807157498,0.03414245070373405,0.0020374070211957944
c41,-8.614658426661016e-05,0.00014597677521142083,0.00020499616326932955,8.70370591532115e-05
c42,0.002756405980984885,0.0014972783975417362,0.016813348392527207,0.0009817354895100623
e5,0.008741441678081956,0.0018546857605841007,0.03780835198667228,0.0016608916875148897
c51,0.0002763630931263723,0.0006618448989022307,0.002353878271933939,0.00027514879045640824
c52,0.010139622595072242,0.0019992640926154125,0.041206358268416746,0.0017349888877943686
K6,-0.00011159776412363532,0.00045632819285924516,0.0016943114110239928,0.00030961107036827853
f6,-9.927889401765683e-05,0.0006074618599166743,0.002152634816426477,0.0003057664047625048
b6,0.07617970968125809,0.00573632735096535,0.23821121005794937,0.004445601986483118
c6,0.03028278726540532,0.0036932338155737233,0.1470593441550957,0.004655603435529732
K7,-0.0003015283312059695,0.0006110081916197148,0.0033597286941417686,0.0003447505919984541
g7,0.0021869746614868934,0.0016026818589717758,0.019536364801706063,0.001056056866336637
b7,0.021675607118385377,0.0028994066513301463,0.07470046719357426,0.0020539637975823116
c7,0.005638824750292235,0.0018966968098887873,0.03348565457270259,0.0012693314155429341
dummy,0.0,0.0,0.0,0.0
