parameter_names,S1,S1_conf,ST,ST_conf
sigma,0.0004996535885526364,0.00048196178718789564,0.0018277653652847652,0.00046068557108450777
f1,3.829257778169115e-05,0.0010193717512315726,0.009412423432785122,0.0012710069133245354
K2,0.07225014211419008,0.0056753055668376535,0.23101044081820435,0.0056354143024085
b2,0.0019025363215267614,0.0030385626752428073,0.0800261793581468,0.0034046507871745243
a2,0.015168580456485769,0.003306382627881952,0.10014406325656539,0.0038657536617391812
d2,0.000281459229509653,0.001007643591183628,0.015411618155220578,0.0015763533069375942
e2,0.00637111696688049,0.0026766924781025155,0.05969993840472015,0.003949649804340993
g2,0.001567115771642291,0.0011732756593115217,0.011906568726426488,0.0010134752541782733
c3,0.17367654454704112,0.007536477838626251,0.42981614988080535,0.008124583252417928
b3,0.11089852083413068,0.006768712096314457,0.33195642493883387,0.00720847962348416
d4,0.004177706953781672,0.0017599272233746767,0.03157411361162282,0.0023055673708929905
c41,-6.536663858279802e-05,0.0001226661396039756,0.0002658606544463232,0.00011697303322851279
c42,0.000705075595927627,0.0016563250992435267,0.021636158901857994,0.0018330451582306176
e5,0.07425171657718216,0.006476203551353731,0.2511030684834522,0.005286705086609485
c51,0.000573364336121067,0.0007688743445786638,0.006528403966696307,0.0008522612947790893
c52,0.07631708945164746,0.00511713486210506,0.23804245954290046,0.006536468465658407
K6,-0.00030723772969142103,0.00045745799259468633,0.0023878873596323465,0.0006352101307031497
f6,0.00013897911025747506,0.000513449325046528,0.0024870361395021565,0.0005988949811735623
b6,0.02284422989019448,0.004458111840330297,0.1534502805876648,0.005769161709602213
c6,0.013610622555927945,0.0035275933829023217,0.11699615633040795,0.004748177278293406
K7,0.00021869507947728346,0.0004402102710374514,0.0017845656706731228,0.0005424295602568814
g7,0.00031129007542138705,0.0007352682669713547,0.005152155014593861,0.0007592813474385943
b7,0.002938236228333857,0.0016829458159582531,0.024464743405068604,0.0017217841658393356
c7,0.0009796052249289322,0.0013138738839493286,0.01721028065712002,0.0011951700661319731
dummy,0.0,0.0,0.0,0.0
