parameter_names,S1,S1_conf,ST,ST_conf
sigma,6.264384203947705e-05,0.0002631355634472284,0.0006494306427800299,0.00017091892034827203
f1,0.0058327011316262,0.0016050081069403294,0.028277264829283135,0.0013175387669807817
K2,0.3941363251539515,0.007217698314333877,0.46917770157146216,0.005446231572178746
b2,0.0019759790820785593,0.003972709737497645,0.12199560096446796,0.002768163974482209
a2,0.03916749209220434,0.0034769897390920465,0.10066892743120948,0.002533102949091503
d2,8.791070839605798e-05,0.0009216142213870642,0.009917390930183796,0.0008134731849354037
e2,0.004840538559207952,0.0018462015680406365,0.027414672507780305,0.001295934254746028
g2,0.007343759101249746,0.002264357064806109,0.04501038907676556,0.0016949429096224284
c3,0.021843884948831143,0.005048888823791654,0.19361288869335094,0.004589432799978063
b3,0.01927694159508383,0.004783496728656472,0.1715445622705462,0.005162454518728982
d4,0.007861675075343282,0.002079133561091451,0.03316883603542243,0.0018277145022819131
c41,-1.995751804728233e-05,6.255069357909257e-05,3.8024899324083926e-05,3.557828524646276e-05
c42,0.0019511639350534508,0.001412609973045449,0.016066673598361916,0.0008953253789686647
e5,0.008012101517146717,0.002171016243499078,0.03616346521911669,0.0014949140562488309
c51,-0.0002458534837213703,0.00037724023244282116,0.0011627683851438337,0.00017869033401253634
c52,0.009831256429207319,0.002222582241718901,0.03866944398346037,0.0014902499547388031
K6,-0.00016240900573232997,0.0004496059402686075,0.0017045753369771734,0.0002717482877380242
f6,-0.0007031738685641986,0.0006233550124275625,0.003039511615564268,0.0003545988075736694
b6,0.07588643122071208,0.005590325427312601,0.23231081650748003,0.004483526662978559
c6,0.029257195465636612,0.003946070151883421,0.13842244353841146,0.004229126366602796
K7,-0.0002740945481845066,0.0005263246920672709,0.0026593001798697865,0.0002873028898152971
g7,0.0011427082937273487,0.0015941054699014287,0.018897429493573235,0.0008812847232369496
b7,0.02001301533918553,0.00301170198577323,0.07087829951565272,0.0022125656957526726
c7,0.004795943426917722,0.0021724298719771763,0.03126598432698191,0.0011224392600440568
dummy,0.0,0.0,0.0,0.0
