parameter_names,S1,S1_conf,ST,ST_conf
sigma,-8.345463708796606e-05,0.00026606574412061897,0.0006090413274076666,0.00021293498547538098
f1,0.0007635175567737944,0.0008557922330420062,0.007172454279058197,0.0018087870082163788
K2,0.025950418801805805,0.005131444327267649,0.19944191525067498,0.01334895753872051
b2,0.0008264647981044475,0.0030773668155338043,0.06357556839229012,0.007245175060622445
a2,0.008780086791268928,0.0030820711563184877,0.09851306340254476,0.007392019156383278
d2,0.0008915068114481521,0.004203856971350008,0.06910189705746458,0.009072401819161155
e2,0.0014378066597678216,0.0017700501767766161,0.019476624501965915,0.002379104221991514
g2,0.0005819318345321275,0.0008419661125628799,0.008344494260616068,0.0016157746644275472
c3,0.06239257074853586,0.006274803157922261,0.34932610822869603,0.02240714869032203
b3,0.04020419721816189,0.0056320003795843916,0.2706246386024657,0.01784619526679598
d4,0.21846755484532346,0.018536061913506353,0.705363880315801,0.03277753458975523
c41,1.4134822025423568e-05,7.577768081863865e-05,0.0002195025261218643,6.536950039176099e-05
c42,0.037448836454409315,0.005565277216695039,0.2334586211556651,0.014204953704747574
e5,0.0018124057418382707,0.0018616808424665007,0.025663444047681092,0.0033280446041747016
c51,0.00020802489811171844,0.00027453294207177884,0.0008119290050094706,0.00023935256243556426
c52,0.001334065394215495,0.002000381845105667,0.03809521670097349,0.0049733845335864025
K6,3.347170639203537e-05,0.0003706897655231675,0.0014499729460175916,0.0006668989237959476
f6,0.00021187697188921071,0.0002633758072348434,0.001277528010891403,0.0006282767721707543
b6,0.007130134704016708,0.004218339107102583,0.14544614466635286,0.015354179165964975
c6,0.005318435506139144,0.002742486940619742,0.09941039840127747,0.011041939910452018
K7,-3.2359246526595626e-05,0.00017973859889301792,0.0005314690263804329,0.00026037925742407564
g7,0.0007694289979411616,0.0015549644378851622,0.0035764861934338516,0.000994710294470093
b7,0.0028873671727759616,0.0018941825577435773,0.018250557788675962,0.0020403169599399087
c7,0.0016886837558022973,0.0015001201521612948,0.012533069663452879,0.0022469405164317843
dummy,0.0,0.0,0.0,0.0
