parameter_names,S1,S1_conf,ST,ST_conf
sigma,7.183946813859939e-05,0.00035496672965466987,0.0004470054132128327,0.00015950846395019265
f1,0.0010720822015656752,0.0009177616438082222,0.009562757416000036,0.0018116645049711603
K2,0.02554936394337221,0.005438173771275711,0.19649470721939716,0.01273453739496255
b2,0.0006279087822081465,0.003295633619290961,0.06002664791102861,0.006792107960691464
a2,0.00875284694731263,0.003414351101914766,0.0959375827846822,0.007748101681164832
d2,0.0004778804571182601,0.004296599042670072,0.06686598178820967,0.009255420633225231
e2,0.0019074650872384163,0.0017740890890549058,0.019697057623973314,0.0025530866265341245
g2,0.0007265952215891145,0.000809250073340294,0.008005870461267892,0.0012977019397906538
c3,0.06170312510697704,0.006854199577226324,0.3455524554168533,0.018624429937290153
b3,0.03985864785986751,0.006418331629386837,0.2669187830866066,0.018379539811020217
d4,0.2211728675645269,0.020649148001276138,0.7113762402040761,0.03085336434408576
c41,1.7352856558122454e-05,0.00010638851078995013,0.0002829240443020834,0.0002699062442451845
c42,0.03912023055198458,0.005049303871753411,0.23195458743835992,0.016115479287904844
e5,0.0014631406750477355,0.0020881215097360503,0.023750773943809627,0.0026888334390980464
c51,-6.493518997760755e-05,0.0002577631270000186,0.0005946242117147145,0.00020275358894811685
c52,0.001120409552421968,0.0022019416266553034,0.036983574713596284,0.004748729644364437
K6,0.00012045368225376919,0.00040468411171262384,0.001377695924971439,0.0005640661251267935
f6,8.169935744427431e-05,0.00036410106968684573,0.0018278780627178632,0.0006612588809759394
b6,0.006595657894885576,0.0039082134995750235,0.13508105364133938,0.012461902842155466
c6,0.0050921480937966305,0.002756121918876371,0.091224808657559,0.009821958299075196
K7,0.00031936095014167403,0.000532167927039825,0.00046480360953913733,0.0002550615195440953
g7,0.0012084967855543196,0.0014739064812326057,0.0036639556277813547,0.0010291587629443256
b7,0.002808962331467331,0.0018442088271383938,0.017515746639978704,0.0019981571925492916
c7,0.0023214670729216364,0.0015020865467758285,0.012600766604903875,0.001586883786024626
dummy,0.0,0.0,0.0,0.0
