parameter_names,S1,S1_conf,ST,ST_conf
sigma,-0.00010519069469422467,0.0005768113028728069,0.0022440308634980428,0.0004512259937086406
f1,0.0002897928569271843,0.0009842872044137467,0.009118132915308783,0.001254987262671396
K2,0.07241595246128275,0.005238294552760711,0.23328252263944707,0.005190543076508766
b2,0.0009367570595059254,0.0026598521446551063,0.07927933499624208,0.0032758223190137176
a2,0.014059599940096656,0.003355792477120968,0.09892420825363603,0.0037596090563786592
d2,0.0003715900502837402,0.0012278354626641822,0.015872218382117952,0.0014873033831371847
e2,0.005380401781483436,0.0024457178543861005,0.05979949469286545,0.0037453273693071856
g2,0.0014107643453880863,0.001168022552912814,0.012126314825028128,0.0010255344365100551
c3,0.1723453373087988,0.006818332828236551,0.43033402689873484,0.008698350678902459
b3,0.10920746477505955,0.006850341958236382,0.331041097241089,0.008014177211976592
d4,0.003716226606400041,0.0017968499432366582,0.03215291691385641,0.0023555916562600396
c41,-5.640074361732991e-05,0.00013489654268285082,0.0002935692785955409,0.00019555831541898723
c42,6.871023814908546e-06,0.001385524079623179,0.022668244337051814,0.0016054600576056435
e5,0.07155234668969666,0.00597768018930176,0.249858774230987,0.0047138694552049274
c51,-0.000438933202314374,0.0008198267881862507,0.006078208071985675,0.0007922134598789827
c52,0.07647059008553611,0.005660772159398776,0.23923741699731427,0.005870236291796953
K6,-8.011139857147153e-06,0.000495320890296191,0.0024691971442752157,0.0007297955737124397
f6,-0.00047864322950452607,0.0005723375455550415,0.0026733427721838815,0.0006896709368081707
b6,0.020920196980641865,0.004190532555232607,0.15029334332633698,0.004825545371607208
c6,0.01281349584776984,0.00387341477388952,0.11453698171778787,0.004564554393764798
K7,0.00011616383596104905,0.00040199743436506325,0.001814853277972859,0.0004971956380467418
g7,0.0002912748354714145,0.00058584458697974,0.004928018025500509,0.0007028251240921786
b7,0.002767955410296258,0.00198655608834551,0.024701864673993813,0.001562746074086786
c7,0.0010389419878562823,0.0015736150031204032,0.0178206048705011,0.0013331499353755156
dummy,0.0,0.0,0.0,0.0
