parameter_names,S1,S1_conf,ST,ST_conf
sigma,0.00023386748089437395,0.00031938213559484086,0.0011682466897696244,0.00031308631146315124
f1,0.0005668484724616454,0.0010418658627973296,0.008230960561328863,0.0005835136723952385
K2,0.3991451401815869,0.00723808379531337,0.4801270719809499,0.005719863270561174
b2,0.004812461283553276,0.004074635407497085,0.12448751641550669,0.0026819326236030942
a2,0.03346490565811214,0.0033435340313963642,0.09153475446549636,0.0025932138988210797
d2,0.0010623788676535162,0.001277889133852624,0.01092500499409759,0.0008868915623458359
e2,0.0055520948487256545,0.001647042826346822,0.02840646818441131,0.0012700329499692317
g2,0.008302845877981779,0.002156716020756169,0.04755609547234047,0.0017614087855797498
c3,0.022599657035499147,0.004522340839997094,0.20258839327334788,0.004262839605253193
b3,0.021049030303976552,0.004693224007108005,0.180448240283569,0.004497913866884923
d4,0.008026757363453858,0.0020064792451890117,0.033875689227342444,0.001724731135453065
c41,7.36789901377332e-05,0.00015228120558238286,0.0002481974326576645,0.00012034559418550306
c42,0.00233231994264357,0.0014382134507787338,0.016926759444864593,0.0011419182817936826
e5,0.008276725797322177,0.0019666211671787556,0.03726391231105061,0.0015960369802849553
c51,-0.00018355839492061239,0.0005123648855968676,0.0023182287217917443,0.00027735062480325833
c52,0.010148231094996603,0.002284981172881926,0.041341836253477385,0.0014944314217248881
K6,-1.3730758370320557e-05,0.0004239811076552906,0.0016362302806623293,0.00031640445287230677
f6,0.00010509697145186299,0.0004930502434755102,0.002189071209190419,0.0003398036728731032
b6,0.07478711470796678,0.004977083583561381,0.2357662380994384,0.005615831977522391
c6,0.030518379753257708,0.00386009330849573,0.14600908355165704,0.004214852361710168
K7,-0.0003750983915965717,0.0006142570667487144,0.0031589703472686,0.0003329631890194429
g7,0.002284068168680954,0.0012937232839637157,0.019450436714574332,0.0008957841003186665
b7,0.021334260824453916,0.002924617320546791,0.07490416086241664,0.0022798806110232487
c7,0.005638940285873524,0.0019189337214718018,0.033566914912921554,0.0012196392720653813
dummy,0.0,0.0,0.0,0.0
