parameter_names,S1,S1_conf,ST,ST_conf
sigma,-9.262766055373094e-05,0.0005765339715838881,0.0023066901070185894,0.0004315331453775543
f1,0.00014479907220343586,0.0009235654339288988,0.009919898571566483,0.0013915515651884592
K2,0.0727938205268024,0.005296397184225148,0.2313739592310099,0.0060446502768087655
b2,0.0007922728721763451,0.0030197096629209336,0.07852314553052729,0.0042132897357075065
a2,0.013338266732600126,0.0031386089461514018,0.09873860920795613,0.004302664570653942
d2,-0.000923502748085695,0.0013898919593492666,0.014811319124380636,0.0014705392571213514
e2,0.006301239011024965,0.0025542370805352595,0.05717973800685133,0.0037951568124968103
g2,0.0020084372397055268,0.0010481611950609148,0.011864590579650771,0.0009614885241292084
c3,0.173555356403892,0.006907129333667679,0.43192960895629473,0.009501622794955191
b3,0.1104638981739675,0.005198985657423105,0.33050746704144307,0.007745482268239272
d4,0.003589458422879818,0.0018749050104819958,0.03185989049813727,0.0020841511923325776
c41,-4.807761324286495e-05,0.00010662338638451282,0.00017386272622144902,8.367917058816722e-05
c42,0.00013185912852940068,0.0014045291319008358,0.021356876007836947,0.0015357000741416467
e5,0.07403189163869987,0.0059683979246607285,0.25062938984738203,0.004740185496726731
c51,-0.0005677804123003822,0.0007939710203073933,0.005815089774963917,0.0007994075615940098
c52,0.07716331723100862,0.004736233020023409,0.24018884369553015,0.00592227874317688
K6,-0.00029886728324308147,0.0005303920132516152,0.0021514736654219663,0.0006202198479000581
f6,-8.164716147592746e-05,0.0005217051554336814,0.002323815353009578,0.0005185524838198216
b6,0.020911103576905576,0.0043171948819737595,0.1503416609059353,0.005212242439934827
c6,0.012195393793970484,0.0032860915924171293,0.1145576130931391,0.0055024448809997805
K7,-1.599170004977681e-05,0.0005007017904341096,0.0015509789094244196,0.0004505831636989102
g7,0.000634600463493965,0.0006783064012171154,0.0049205047495842116,0.0006917274584948751
b7,0.002828559892901174,0.0016089191631584344,0.024364068533676293,0.0017059669849942387
c7,0.0010411075635090733,0.00118032567434946,0.016873096167428183,0.0011998087273943612
dummy,0.0,0.0,0.0,0.0
