parameter_names,S1,S1_conf,ST,ST_conf
sigma,0.0,0.0,0.0,0.0
f1,0.0,0.0,0.0,0.0
K2,0.0,0.0,0.0,0.0
b2,0.0,0.0,0.0,0.0
a2,0.0,0.0,0.0,0.0
d2,0.0,0.0,0.0,0.0
e2,0.0,0.0,0.0,0.0
g2,0.0,0.0,0.0,0.0
c3,0.0,0.0,0.0,0.0
b3,0.0,0.0,0.0,0.0
d4,0.0,0.0,0.0,0.0
c41,0.0,0.0,0.0,0.0
c42,0.0,0.0,0.0,0.0
e5,0.0,0.0,0.0,0.0
c51,0.0,0.0,0.0,0.0
c52,0.0,0.0,0.0,0.0
K6,0.0,0.0,0.0,0.0
f6,0.0,0.0,0.0,0.0
b6,0.0,0.0,0.0,0.0
c6,0.0,0.0,0.0,0.0
K7,0.0,0.0,0.0,0.0
g7,0.0,0.0,0.0,0.0
b7,0.0,0.0,0.0,0.0
c7,0.0,0.0,0.0,0.0
dummy,0.0,0.0,0.0,0.0
