parameter_names,S1,S1_conf,ST,ST_conf
sigma,-0.00017412559084155444,0.00020060621473387024,0.0005491969026239599,0.0001240645762299701
f1,0.0005454507433857572,0.0007501319253387848,0.006903707407279239,0.0019333012750435822
K2,0.02526323251854303,0.0052680849032442235,0.20148056947424847,0.012015898838004585
b2,0.001317708538421003,0.0032858192789107653,0.06509141454238425,0.007851523394597668
a2,0.008102300361820356,0.003361363117629848,0.10075483307920285,0.007995005156637331
d2,0.0006671580230580316,0.004176132172224736,0.0705497425762103,0.009735662813338233
e2,0.0007300096701341281,0.0013431488120273756,0.02115291217561872,0.0025991688164825003
g2,0.0005721075798635363,0.0008426501612429744,0.00835437222452413,0.0017180499053071618
c3,0.06195674258849884,0.006928575110693549,0.3493560136934084,0.017145690675928735
b3,0.03949246070518391,0.005386393919842602,0.27335438592362377,0.016807988238337148
d4,0.21457456514499862,0.021392069468854,0.7046153995061262,0.02667863155185241
c41,2.758298999457102e-05,8.48634508144699e-05,0.00031719467792475146,0.0001650738021864571
c42,0.03836501014023135,0.005054138662240369,0.23430457986367073,0.015463797871624867
e5,0.0019362921133330541,0.0016524900474113257,0.02765455315172112,0.004162587333057707
c51,0.0002640250205037679,0.0003805735399517834,0.0008321557575496683,0.00017146445764927663
c52,0.0014628048080955677,0.001579420913935776,0.038389829219518126,0.004607793497628728
K6,-0.00012242650271516629,0.0003494850247509906,0.0012112334666001163,0.00040914368531527105
f6,-4.2643907537378724e-06,0.0003348573502037293,0.0019147092138269248,0.001374532108939142
b6,0.006183937575116601,0.004512557265533358,0.14597472453263452,0.014654091360191735
c6,0.005400778727038315,0.002721967321812248,0.09960183344985842,0.01074573222624762
K7,-0.00012109975486159112,0.00018658942368674858,0.00044433307691960745,0.0001569921418143558
g7,0.0006876101632205025,0.0014330105129789215,0.003492581667507753,0.0008496286611350635
b7,0.002832794934556713,0.0020556232579206635,0.01845179694653437,0.002253882456367489
c7,0.0016738883762537045,0.0015294058880183264,0.013884327827194733,0.0023874676036592635
dummy,0.0,0.0,0.0,0.0
