parameter_names,S1,S1_conf,ST,ST_conf
sigma,0.00018163636375604243,0.00033739310048441285,0.0011069619094028961,0.00022352468639498746
f1,0.0011343244918051538,0.0010942334212854154,0.011134849583485897,0.0008372531848092835
K2,0.39435297541080144,0.0075610372527164784,0.4744672205070453,0.005654342934330457
b2,0.003057980690524648,0.00437014157866796,0.12330291859339579,0.0031693574313191968
a2,0.03468433885859901,0.0032630131668229287,0.09352349384093131,0.002401259585533189
d2,-0.00021452033620278284,0.0010872817274876266,0.010504084584943603,0.0007592743570331632
e2,0.00486833173403239,0.0018881310293682424,0.02780592545172215,0.0013507021745434715
g2,0.007972214007330006,0.0025018781636313193,0.046753552810664505,0.0016062350215391107
c3,0.022901015050118483,0.004768048510947818,0.20269501564626544,0.004567765882820613
b3,0.020692668113713873,0.004791751446542236,0.18084086089460844,0.004291182062971977
d4,0.007609557679724679,0.0020164331553934765,0.033203052300977504,0.0015178077355594056
c41,-2.7396336670917287e-05,9.511296178169089e-05,0.00011373785914652925,6.225701250730904e-05
c42,0.0021435752808310364,0.0014086772540020183,0.016690023843302506,0.0011318667073795879
e5,0.007666936264298744,0.0018338610984435766,0.03637864096208933,0.0017337219167693765
c51,-0.00038306284962847303,0.0004522265668138235,0.0019757983551387187,0.0002277530625349218
c52,0.00901657139363004,0.0022935963845300833,0.040252591870290386,0.0014320262679913007
K6,-0.0004898689562120363,0.0004905944737981975,0.0016132403139525139,0.0003202364659960308
f6,-0.0001629435527480452,0.0004812015638052113,0.002073337288168307,0.00037727121541563296
b6,0.07713462707675535,0.005626674734851252,0.23864358393329616,0.00504471828694332
c6,0.030658188577881072,0.00455211679831599,0.14715798018490325,0.004597979075272929
K7,-0.000575231204513879,0.0005985147280312215,0.0028982882555315774,0.0002878449194096187
g7,0.00204207253378511,0.0014190345355759543,0.01893502978427994,0.0010172185216614728
b7,0.02073212948958191,0.002773212900921499,0.0735019407536816,0.0023068847709594165
c7,0.005433150575680485,0.0018602966434662224,0.032686604238280015,0.0012656699919202227
dummy,0.0,0.0,0.0,0.0
